         3741936 function calls (3648040 primitive calls) in 2.102 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   365/54    0.004    0.000    0.011    0.000 sre_parse.py:469(_parse)
      163    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:914(get_data)
     1400    0.003    0.000    0.005    0.000 executor.py:36(get_json_data_dict)
     9385    0.003    0.000    0.003    0.000 {method 'update' of 'dict' objects}
     1304    0.003    0.000    0.144    0.000 test_protocol.py:41(to_tap_requests)
    11422    0.003    0.000    0.011    0.000 copy.py:273(<genexpr>)
      420    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
     3912    0.003    0.000    0.005    0.000 copy.py:210(_deepcopy_list)
      400    0.003    0.000    0.094    0.000 executor.py:203(set_success)
      487    0.003    0.000    0.455    0.001 protocol.py:237(handle_request)
     3209    0.003    0.000    0.004    0.000 mock.py:2044(__new__)
    22397    0.002    0.000    0.002    0.000 sample_command.py:52(json_type)
     5711    0.002    0.000    0.003    0.000 copyreg.py:87(__newobj__)
2428/2418    0.002    0.000    0.003    0.000 mock.py:702(__setattr__)
  809/806    0.002    0.000    0.004    0.000 mock.py:593(__getattr__)
      600    0.002    0.000    0.017    0.000 protocol_messages.py:70(get_json_data_dict)
       97    0.002    0.000    0.002    0.000 {built-in method posix.getcwd}
     3200    0.002    0.000    0.004    0.000 utils.py:243(add_object_type)
     1802    0.002    0.000    0.002    0.000 utils.py:233(json_type)
   564/49    0.002    0.000    0.005    0.000 sre_compile.py:71(_compile)
     7654    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
      230    0.002    0.000    0.695    0.003 protocol.py:328(handle_response)
      802    0.001    0.000    0.023    0.000 mock.py:1007(__call__)
     4461    0.001    0.000    0.001    0.000 sre_parse.py:233(__next)
     2270    0.001    0.000    0.019    0.000 storage.py:273(base_key)
      163    0.001    0.000    0.001    0.000 {method 'read' of '_io.FileIO' objects}
      400    0.001    0.000    0.013    0.000 storage.py:80(__getitem__)
      800    0.001    0.000    0.051    0.000 storage.py:217(__iadd__)
     1400    0.001    0.000    0.007    0.000 sample_command.py:38(get_json_data_dict)
    188/1    0.001    0.000    2.102    2.102 {built-in method builtins.exec}
      800    0.001    0.000    0.003    0.000 shared_object.py:49(get_json_data_dict)
      400    0.001    0.000    0.014    0.000 executor.py:127(set_outcome)
     2192    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
